Spannung;Strom;;;;
300;1,79E+00;1,68E+02;1,336787193;;1,52E+02
290;1,77E+00;1,64E+02;1,329285522;;225
280;1,68E+00;1,67E+02;1,296533841;;1,209216491
270;1,65E+00;1,64E+02;1,283744523;;1,47E+00
260;1,63E+00;1,60E+02;1,274754878;;
250;1,60E+00;1,56E+02;1,264120247;;
240;1,57E+00;1,53E+02;1,2509996;;
230;1,49E+00;1,54E+02;1,222292927;;
220;1,44E+00;1,53E+02;1,200833044;;
210;1,39E+00;1,51E+02;1,17940663;;
200;1,36E+00;1,47E+02;1,166190379;;
190;1,33E+00;1,43E+02;1,15195486;;
180;1,30E+00;1,39E+02;1,137980668;;
170;1,24E+00;1,37E+02;1,113103769;;
160;1,20E+00;1,33E+02;1,095445115;;
150;1,09E+00;1,38E+02;1,044030651;;
